model_s,tail_num,mfg,model,updated,comment
ade8ff,N996AT,,B712,1464739201,B717-2BD
a3b111,N337NW,,A320,1464739201,A320-212
a7398e,N565AS,,B738,1464739201,B737-890(WL)
ab6396,N833AY,,CRJ2,1464739201,CRJ2
a71ded,N558JB,AIRBUS,A320-232,1464739200,
a32a88,N303AS,,B739,1464739201,B737-990
a53adc,N436QX,BOMBARDIER INC,DHC-8-402,1464739200,
a0a96c,N14148,EMBRAER,EMB-145XR,1464739200,
a67050,N514AE,,CRJ7,1464739201,CL-600-2C10 CRJ-702
ad3fde,N953AT,BOEING,717-200,1464739200,
a9bc12,N726YX,EMBRAER S A,ERJ 170-200 LR,1466168187,
a9eeb6,N739YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a57b2f,N452SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a3a990,N335NB,,A319,1464739201,A319-114
a0817c,N13110,BOEING,757-224,1464739200,
addf01,N993NN,BOEING,737-823,1464739200,
ac76b6,N902BC,,E145,1464739201,E145
ab774b,N838NN,,B738,1464739201,B738
a046f2,N117HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a60ab8,N489HA,BOEING,717-200,1464739200,
abdcb5,N86322,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a7e8bf,N609AS,BOEING,737-790,1464739200,
a32bcb,N303PQ,CANADAIR CRJ-900LR,CRJ9,1466992601,DELTA CONNECTION
ab649a,N833MH,,B764,1464739201,B767-432 (ER)
aa7718,N7734H,BOEING 737-7BD,B737,1466992601,SOUTHWEST AIRLINES
930e47,N425AW,,CRJ2,1464739201,CRJ2
a21142,N232PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a78a52,N585UW,AIRBUS INDUSTRIE,A321-231,1464739200,
a0bcb2,N147AA,AIRBUS,A321-231,1464739200,
aafc36,N807DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a33a1d,N307JB,EMBRAER,ERJ 190-100 IGW,1464739200,
acddf8,N928XJ,,CRJ9,1464739201,CRJ9
a89f52,N655AE,EMBRAER,EMB-145LR,1464739200,
a2536f,N249WN,BOEING,B737,1464739201,B737-7H4/W
a43ea2,N37273,BOEING,737-824,1464739200,
a36e61,N320AS,,B739,1464739201,B737-990
a15027,N184GJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a02088,N107US,,A320,1464739201,A320-214
aa6e58,N771SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a19404,N200WN,BOEING,B737,1464739201,B737-7H4/W
a9b0ed,N723YX,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a80162,N615AS,BOEING,B737,1464739201,B737-790
a46cc1,N38417,,B739,1464739201,B737-924ER
acdc5a,N928EV,BOMBARDIER INC,CL-600-2B19,1464739200,
a97797,N709SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a6c365,N535EA,BOMBARDIER INC,CL-600-2C10,1464739200,
a2886c,N262WN,BOEING,737-7H4,1464739200,
a9b275,N724AN,BOEING 777-323,B77W,1466992601,AMERICAN AIRLINES
ac2bb8,N88327,EMBRAER S A,ERJ 170-200 LR,1464739200,
ad24ab,N946NN,BOEING,737-823,1466168188,
a4478d,N375NC,,A320,1464739201,A320-212
a5c36e,N470ZW,BOMBARDIER INC,CL-600-2B19,1464739200,
a968bb,N705SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a1ae05,N207WN,BOEING,737-7H4,1464739200,
ac042a,N8732S,,,1464739201,
a448db,N3751B,,B738,1464739201,B737-832
a8a6c0,N657AE,EMBRAER,EMB-145LR,1464739200,
ac75ee,N9015D,AIRBUS,A319-115,1464739200,
adea26,N996NN,BOEING,737-823,1464739200,
ab473a,N826AW,,A319,1464739201,A319-132
a84178,N631AE,EMBRAER,EMB-145LR,1464739200,
a0fcd4,N163AA,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a8ae3e,N659AW,,A320,1464739201,A320-232
a69192,N522NK,AIRBUS,A319-132,1464739200,
ac4229,N8894A,,CRJ2,1464739201,CRJ2
a1f116,N224NN,EMBRAER S A,ERJ 170-200 LR,1466168185,
a4dd02,N412QX,,DH8D,1464739201,DH8D
a0f4b5,N1605,,B763,1464739201,B767-332 (ER)
a0b8fb,N146AA,AIRBUS A321 -231,A321,1466992601,AMERICAN AIRLINES
a9d5df,N73270,,B738,1464739201,B737-824/W
a37023,N320US,,A320,1464739201,A320-211
a4e8b4,N415WN,BOEING,737-7H4,1464739200,
a42efc,N369NW,,A320,1464739201,A320-212
a442f3,N374DA,,B738,1464739201,B737-832
abdc92,N86312,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a2f77b,N290WN,BOEING,737-7H4,1464739200,
a526ea,N431AW,,CRJ2,1464739201,CRJ2
a15ebc,N188DN,,B763,1464739201,B767-332 (ER)
ad5460,N958WN,BOEING,B737,1464739201,B737
a08efd,N135NN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a9b85b,N725YX,EMBRAER S A,ERJ 170-200 LR,1466168187,
ad57bb,N959SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a5aa78,N464WN,BOEING,737-7H4,1464739200,
aa6f80,N7713A,BOEING,737-7BD,1466168187,
ad14a8,N942AT,,B712,1464739201,B717-2BD
aa2e6f,N755US,AIRBUS INDUSTRIE,A319-112,1464739200,
ad1a4e,N943WN,BOEING,737-7H4,1464739200,
aac7ab,N794JB,,A320,1464739201,A320
a2000d,N228PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab79de,N839AW,AIRBUS,A319-132,1464739200,
a01fee,N107NN,AIRBUS INDUSTRIE,A321-231,1464739200,
a777bf,N580UW,AIRBUS,A321-231,1466168186,
ada336,N978UY,AIRBUS,A321-231,1466168188,
aaef89,N8031M,AIRBUS,A319-115,1464739200,
a44d85,N3768,BOEING,737-832,1464739200,
ad6c3b,N964NN,BOEING,737-823,1464739200,
ad1d3d,N944NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a0dab2,N154SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
ad7ece,N969NN,BOEING,737-823,1466168188,
a6f482,N54711,BOEING,737-724,1464739200,
a9854e,N712US,,A319,1464739201,A319-112
aa59a5,N766US,,A319,1464739201,A319-112
a96109,N703PS,BOMBARDIER INC,CL-600-2C10,1464739200,
abf396,N8697C,BOEING,737-8H4,1464739200,
aa737d,N7725A,BOEING,737-76N,1464739200,
ab6394,N833AW,AIRBUS,A319-132,1464739200,
a1741a,N193JB,,E190,1464739201,ERJ-190-100AR
a99b6a,N718SW,BOEING,B737,1464739201,B737
a09852,N13750,BOEING,737-724,1464739200,
adb014,N981NN,BOEING,737-823,1464739200,
a8712a,N643JB,AIRBUS,A320-232,1464739200,
a0acff,N14237,,B738,1464739201,B737-824/W
