model_s,tail_num,mfg,model,updated,comment 
adc2a7,N986NN,BOEING,737-823,1464739200,
a76f48,N57857,BOEING,757-324,1464739200,
a85592,N636RW,EMBRAER,ERJ 170-100 SE,1464739200,
ad64cd,N962NN,BOEING,737-823,1466168188,
ab6efc,N836DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
aa9769,N7816B,BOEING,737-7L9,1466168187,
a20e38,N231WN,BOEING,737-7H4,1464739200,
a72213,N559NN,BOMBARDIER INC,CL-600-2D24,1464739200,
a10e8b,N16732,BOEING,737-724,1464739200,
aa7e2e,N77510,BOEING,737-824,1464739200,
a53f5b,N437YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a880c8,N647RW,,E170,1464739201,Emb.170-100SE
a4c8a3,N407WN,BOEING,737-7H4,1464739200,
a240dc,N244WN,BOEING,737-7H4,1464739200,
a18284,N197DN,BOEING,767-332,1464739200,
aa76a8,N7731A,BOEING 737-76N,B737,1466992601,SOUTHWEST AIRLINES
acd1f6,N925NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a61d3e,N493WN,BOEING,737-7H4,1464739200,
a6f777,N548US,,B752,1464739201,B757-251
a0ac93,N14204,EMBRAER,EMB-145XR,1464739200,
aa9e4a,N7832A,BOEING,737-79P,1466168187,
a11380,N169DZ,,B763,1464739201,B767-332 (ER)
a8d4cc,N66831,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a9d4b5,N732YX,EMBRAER S A,ERJ 170-200 LR,1466168187,
a9dce9,N73445,BOEING,737-924ER,1464739200,
a4e8ef,N415YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a8fd3c,N679AW,,A320,1464739201,A320-232
abaadd,N8508W,BOEING,737-8H4,1464739200,
a4df5a,N413AW,BOMBARDIER INC,CL-600-2B19,1464739200,
aa6ade,N770UW,,A319,1464739201,A319-112
a60701,N488HA,BOEING,717-200,1464739200,
acb892,N919EV,,CRJ2,1464739201,CRJ2
abaaa8,N8507C,BOEING,737-8H4,1464739200,
a58de0,N457UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a9ec06,N73860,,B753,1464739201,B753
a20f1a,N23139,,E145,1464739201,Emb.145XR
aa9220,N780SK,,CRJ7,1464739201,CRJ7
ad237f,N946AN,,B738,1464739201,B737-823
a4dab6,N41135,,B752,1464739201,B757-224
ad876e,N971AT,BOEING,717-200,1464739200,
abd135,N8600F,BOEING,737-8H4,1464739200,
ad727d,N966AN,BOEING,737-823,1464739200,
a3f4d7,N354NB,AIRBUS,A319-114,1464739200,
a8103e,N619AS,BOEING,737-790,1464739200,
a67f2c,N518AE,BOMBARDIER INC,CL-600-2C10,1464739200,
ac760d,N9016,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
a24ec1,N248LR,BOMBARDIER INC,CL-600-2D24,1466168185,
abeb31,N8670A,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
aa56f7,N76532,BOEING,737-824,1464739200,
adac5d,N980NN,BOEING,737-823,1464739200,
a959df,N701SK,BOMBARDIER INC,CL-600-2C10,1464739200,
aa9ad9,N7824A,BOEING,737-7BK,1466168187,
abd94d,N8625A,BOEING,737-8H4,1464739200,
a591d5,N458WN,BOEING,737-7H4,1464739200,
a69f9d,N526EA,,CRJ7,1464739201,CRJ7
a67b81,N517AS,BOEING,737-890,1464739200,
a3b86c,N339NB,AIRBUS,A319-114,1464739200,
ab1644,N813UA,AIRBUS INDUSTRIE,A319-131,1464739200,
aca02f,N912XJ,,CRJ9,1464739201,CL-600 2D24 CRJ-900
aa1b9a,N750SA,BOEING,B737,1464739201,B737-7H4
aba891,N850NN,,B738,1464739201,B738
adf06d,N998AT,,B712,1464739201,B717-2BD
aa0a79,N746SW,BOEING,B737,1464739201,B737
a0ebab,N159AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
a05827,N121HQ,,E170,1464739201,ERJ-170-200LR
adab31,N980AN,,B738,1464739201,B737-823
a097e9,N13720,BOEING,737-724,1464739200,
a8540b,N636AE,EMBRAER,EMB-145LR,1464739200,
a1f884,N226NN,EMBRAER S A,ERJ 170-200 LR,1466168185,
abca53,N859RW,,E170,1464739201,Emb.170-100SE
ad444d,N954JB,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
ac17d6,N879AS,BOMBARDIER INC,CL-600-2B19,1464739200,
a4c8dc,N407YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a6f5d7,N548CA,BOMBARDIER INC,CL-600-2D24,1464739200,
a5625b,N446QX,BOMBARDIER INC,DHC-8-402,1464739200,
a6cc45,N537UW,,A321,1464739201,A321-231
aa6113,N768US,,A319,1464739201,A319-112
acaf0b,N916XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ac5310,N89313,EMBRAER S A,ERJ 170-200 LR,1466168187,
aa4c3e,N76265,,B738,1464739201,B737-824/W
a05a90,N12157,EMBRAER,EMB-145XR,1464739200,
a56c21,N449AW,,CRJ2,1464739201,CRJ2
aa56b4,N76515,BOEING,737-824,1464739200,
ab3d17,N823MD,EMBRAER,ERJ 170-100SU,1464739200,
abd932,N8624J,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
ac8ce9,N908AE,EMBRAER,EMB-145LR,1464739200,
a101c3,N164NN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
acf207,N933NN,BOEING,737-823,1464739200,
a0e086,N156AN,AIRBUS,A321-231,1466168185,
acc1f3,N921AT,,B712,1464739201,B717-231
a6b07e,N530AS,,B738,1464739201,B738
a8b805,N661AW,,A320,1464739201,A320-232
a58c2e,N457AS,BOEING,737-990ER,1464739200,
a2362a,N24103,,E145,1464739201,Emb.145XR
a41e94,N36476,BOEING,737-924ER,1464739200,
a535c2,N435AS,BOEING,737-990ER,1466168186,
ac893a,N907AN,,B738,1464739201,B737-823
acf841,N935AE,EMBRAER,EMB-145LR,1464739200,
a915f3,N685BR,,CRJ2,1464739201,CRJ2
aa0e1c,N747SA,BOEING,B737,1464739201,B737
ac22c5,N881NN,,B738,1464739201,B738
a29aff,N267WN,BOEING,737-7H4,1464739200,
ab80f4,N840MH,,B764,1464739201,B767-432 (ER)
a041a5,N11535,EMBRAER,EMB-145LR,1464739200,
a90af1,N682DA,BOEING,757-232,1464739200,
aafd17,N807NN,,B738,1464739201,B737-823
aa7c64,N775JB,AIRBUS,A320-232,1464739200,
a8c439,N664MS,,E145,1464739201,ERJ-145LR
a8aef3,N659JB,AIRBUS,A320-232,1464739200,
a923ee,N68842,BOEING 737-924,B739,1466992601,UNITED AIRLINES
aa4a90,N762SK,,CRJ7,1464739201,CRJ7
ab14d9,N813DN,BOEING,737-932ER,1466168187,
abac50,N851NW,,A332,1464739201,A330-223
a445ef,N37465,BOEING,737-924ER,1466168186,
a546c9,N439YX,EMBRAER ERJ-175LR,E170,1466992601,AMERICAN EAGLE
a0822c,N13161,EMBRAER,EMB-145XR,1464739200,
a2b3a2,N273WN,BOEING,737-7H4,1464739200,
a5f581,N483UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a769a3,N577NN,CANADAIR CRJ-900LR,CRJ9,1466992601,AMERICAN EAGLE
aaa247,N7844A,BOEING,737-752,1466168187,
a7ac54,N594AS,,B738,1464739201,B737-890/WL
a20c44,N231AN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a30dc5,N296WN,BOEING,B737,1464739201,B737-7H4/W
ab9a32,N847DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a9b7f6,N725UW,,A319,1464739201,A319-112
a08a1a,N134AN,AIRBUS A321-231,A321,1466992601,AMERICAN AIRLINES
aca248,N913EV,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
aa2311,N752SK,,CRJ7,1464739201,CRJ7
aa92fb,N78004,,B772,1464739201,B777-224 (ER)
a209b9,N230NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a44544,N37419,BOEING,737-924ER,1464739200,
a874e1,N644JB,AIRBUS,A320-232,1464739200,
aaef60,N8030F,AIRBUS,A319-115,1464739200,
a46d4a,N38454,BOEING,737-924ER,1464739200,
ad8769,N971AN,,B738,1464739201,B737-823
accf1c,N924XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab5c69,N831DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
ac5eaa,N8965E,BOMBARDIER INC,CL-600-2B19,1464739200,
a385ee,N326PQ,CANADAIR CRJ-900LR,CRJ9,1466992601,DELTA CONNECTION
ab050f,N809UA,AIRBUS INDUSTRIE,A319-131,1464739200,
abd254,N8608N,BOEING 737-8H4,B738,1466992601,SOUTHWEST AIRLINES
a542d7,N438WN,BOEING,737-7H4,1464739200,
a0a8de,N14106,BOEING,757-224,1464739200,
a60852,N488WN,BOEING,737-7H4,1464739200,
ac6284,N8976E,BOMBARDIER INC,CL-600-2B19,1464739200,
a0ad1b,N14240,,B738,1464739201,B737-824/W
a79ea0,N590NN,BOMBARDIER INC,CL-600-2D24,1466168186,
a4503d,N37700,,B738,1464739201,B737-832
ad7f3a,N969SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a05cc7,N122SY,EMBRAER S A,ERJ 170-200 LR,1466168185,
abf32f,N8694E,BOEING,737-8H4,1464739200,
a46e35,N385DN,BOEING,737-832,1464739200,
a97310,N708JB,,A320,1464739201,A320-232
ac97e4,N910NN,,B738,1464739201,B738
a8d4f6,N66848,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a866c7,N640RW,EMBRAER,ERJ 170-100 SE,1464739200,
a2e9fd,N287WN,BOEING,B737,1464739201,B737-7H4/W
aa649c,N769SW,BOEING,737-7H4,1464739200,
a77e97,N582NW,,B753,1464739201,B757-351
a779b0,N581AS,,B738,1464739201,B737-890/W
a239e0,N24202,,B738,1464739201,B737-824/W
a148b9,N182GJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a7e907,N609DP,,E145,1464739201,E145
a9903a,N715SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a87898,N645JB,,A320,1464739201,A320-232
a06bd3,N126UW,AIRBUS,A320-214,1464739200,
a4c0a8,N405QX,,DH8D,1464739201,DH8D
ada296,N978NN,BOEING,737-823,1466168188,
a7e18a,N607CZ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a8d4b0,N66828,BOEING 737-924,B739,1466992601,UNITED AIRLINES
ab62d3,N8325D,,B738,1464739201,B738
a9bf27,N727SK,BOMBARDIER INC,CL-600-2C10,1464739200,
ac045e,N87339,EMBRAER S A,ERJ 170-200 LR,1464739200,
ac7256,N9006,AIRBUS,A319-115,1466168187,
abd3c7,N861NN,,B738,1464739201,B738
aab0ba,N7881A,BOEING,737-7CT,1464739200,
a4077d,N359NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a654cb,N507JT,,A320,1464739201,A320
a4960c,N395HA,AIRBUS A330-243,A332,1466992601,HAWAIIAN AIRLINES
a0541b,N120EE,AIRBUS INDUSTRIE,A321-231,1464739200,
a1ac11,N207AN,EMBRAER,ERJ 170-200 LR,1464739200,
a7ad7c,N594NN,CANADAIR CRJ-900LR,CRJ9,1466992601,AMERICAN EAGLE
ab2496,N817NN,BOEING,737-823,1464739200,
adca15,N988NN,BOEING,737-823,1464739200,
a095aa,N137EV,,CRJ9,1464739201,CRJ9
acf906,N935JB,AIRBUS INDUSTRIE,A321-231,1466168188,
a49441,N39418,BOEING,737-924ER,1464739200,
aaf1f2,N804NN,BOEING,737-823,1464739200,
acfdf4,N936WN,BOEING,737-7H4,1464739200,
a56866,N448AS,,CL30,1464739201,BD-100 1A10 Challenger 300
a6dd76,N541US,BOEING,757-251,1464739200,
a83782,N62884,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a4a0cd,N398DA,,B738,1464739201,B737-832
a1ed5f,N223NN,EMBRAER S A,ERJ 170-200 LR,1464739200,
a06e71,N127HQ,EMBRAER-EMPRESA BRASILEIRA DE,ERJ 170-200 LR,1464739200,
a809f5,N617NK,AIRBUS,A320-232,1464739200,
a4cc95,N408YX,EMBRAER,ERJ 170-200 LR,1466168186,
a54632,N439SW,,CRJ2,1464739201,CL-600-2B19 CRJ200LR
ab0a73,N810MD,,E170,1464739201,Emb.170-100SU
a4c4ec,N406WN,BOEING,B737,1464739201,B737-7H4/W
aac10d,N792SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a0f8d3,N16178,,E145,1464739201,EMB-145XR
a851db,N635RW,EMBRAER,ERJ 170-100 SE,1464739200,
a8a87e,N657UA,,B763,1464739201,B767-322 (ER)
a3b4c8,N338NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a05ddc,N12225,BOEING,737-824,1464739200,
ac08b1,N8748Q,,,1464739201,
a3cf6d,N34460,BOEING,737-924ER,1464739200,
a50a90,N424AW,,CRJ2,1464739201,CRJ2
a44db3,N3769L,,B738,1464739201,B737-832
a0a7a0,N141NN,AIRBUS,A321-231,1466168185,
a70f80,N554NN,CANADAIR CRJ-900,CRJ9,1466992601,AMERICAN EAGLE
aa7757,N7736A,BOEING,737-7BD,1464739200,
a0f8cb,N16170,EMBRAER,EMB-145XR,1464739200,
a21432,N233FR,AIRBUS,A320-214,1466168185,
a135cb,N17719,BOEING,B737,1464739201,B737-724
a700ac,N550NW,BOEING,757-251,1464739200,
a52c8d,N432WN,BOEING,B737,1464739201,B737-7H4/W
a8aa77,N658AE,EMBRAER,EMB-145LR,1464739200,
aaa2b0,N7847A,BOEING,737-752,1466168187,
a41e2c,N36447,,B739,1464739201,B739
a46368,N382HA,AIRBUS,A330-243,1464739200,
a00929,N101HQ,,E170,1464739201,ERJ-170-200LR
a87f41,N647AE,,E145,1464739201,E145
a94b4b,N69833,BOEING,737-924ER,1466168187,
a28904,N26215,,B738,1464739201,B737-824
a027ca,N109SY,EMBRAER S A,ERJ 170-200 LR,1466168185,
acc3b4,N921US,AIRBUS,A321-231,1466168188,
acfc05,N936AT,,B712,1464739201,B717-231
a8a4c7,N656UA,,B763,1464739201,B767-322 (ER)
a10614,N165US,,A321,1464739201,A321-211
aa15cc,N749US,,A319,1464739201,A319-112
a6ce90,N538EG,,CRJ7,1464739201,CRJ7
a14c70,N183GJ,BOMBARDIER INC,CL-600-2D24,1464739200,
a24c99,N24715,BOEING,737-724,1464739200,
a93631,N693DL,BOEING,757-232,1464739200,
a706ea,N552AS,,B738,1464739201,B737-890(WL)
aa0e62,N747UW,,A319,1464739201,A319-112
abda0d,N863AS,BOMBARDIER INC,CL-600-2B19,1464739200,
abe0bb,N8645A,BOEING,737-8H4,1464739200,
a83876,N629JB,AIRBUS,A320-232,1464739200,
ad1cde,N944JT,AIRBUS,A321-231,1464739200,
ab5bf0,N8309C,,B738,1464739201,B738
acaa77,N915NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
ab766a,N838DN,BOEING,737-932ER,1464739200,
acf686,N934WN,BOEING,737-7H4,1464739200,
a0a967,N14143,,E145,1464739201,EMB-145XR
a9ab72,N722EV,BOMBARDIER INC,CL-600-2C10,1464739200,
ac72af,N9008U,,C510,1464739201,C510
a2cb14,N27959,BOEING,787-9,1466168185,
a5d28e,N47414,BOEING,737-924ER,1464739200,
a77d89,N582CA,,CRJ9,1464739201,CRJ9
ab2b23,N819DN,BOEING,737-932ER,1466168187,
a923a8,N68822,BOEING,737-924ER,1464739200,
ab0485,N809NN,BOEING,737-823,1464739200,
a96577,N704X,,B752,1464739201,B757-2Q8
a4b93a,N403QX,BOMBARDIER INC,DHC-8-402,1464739200,
a9739c,N708PS,,CRJ7,1464739201,CRJ7
a4462e,N3748Y,BOEING,737-832,1464739200,
a448fc,N3752,,B738,1464739201,B737-832
a3dc5a,N348PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a24cc0,N24729,BOEING,737-724,1464739200,
ad4873,N955NN,BOEING,737-823,1464739200,
abdc96,N86316,EMBRAER S A,ERJ 170-200 LR,1464739200,
a78246,N583NN,BOMBARDIER INC,CL-600-2D24,1464739200,
aaa0fc,N784SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a42b45,N368NW,AIRBUS INDUSTRIE,A320-212,1464739200,
a83e86,N630JB,,A320,1464739201,A320-232
a0a9f0,N14180,EMBRAER,EMB-145XR,1464739200,
a848e6,N633AE,EMBRAER,EMB-145LR,1464739200,
a6893c,N520DC,,CRJ7,1464739201,CL-600-2C10 CRJ-700
a93997,N694AE,,E145,1464739201,ERJ-145LR
a7946a,N588JB,AIRBUS,A320-232,1464739200,
aaba9a,N79011,,B772,1464739201,B777-224 (ER)
a5f5bf,N483WN,BOEING,737-7H4,1464739200,
a6e258,N54241,BOEING,737-824,1464739200,
a8d465,N66803,BOEING 737-924,B739,1466992601,UNITED AIRLINES
ab5f6a,N8317M,,B738,1464739201,B738
a7e509,N608AT,,B712,1464739201,B712
a5f976,N484WN,BOEING,737-7H4,1464739200,
a2fe3c,N292PQ,BOMBARDIER INC,CL-600-2D24,1464739200,
a8f00e,N675UA,,B763,1464739201,B767-322ER
a52c31,N432SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200LR
a6b1a3,N530NK,,A319,1464739201,A319-132
a6fa94,N549NN,BOMBARDIER INC,CL-600-2D24,1466168186,
acb251,N917SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
acd619,N926SW,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a51f0f,N429WN,BOEING,B737,1464739201,B737
aaffed,N808DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a7e24a,N607LR,,CRJ9,1464739201,CRJ9
a81773,N620NK,AIRBUS A320-232,A320,1466992601,SPIRIT AIRLINES
a05dbc,N12218,BOEING,737-824,1464739200,
a36851,N319AS,,B739,1464739201,B737-990
a0a9b2,N14168,,E145,1464739201,Emb.145XR
abd971,N8626B,BOEING,737-8H4,1464739200,
a186ad,N198JB,EMBRAER,ERJ 190-100 IGW,1464739200,
ac7ad7,N903FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ad857e,N970UY,AIRBUS,A321-231,1464739200,
a8e24d,N67134,,B752,1464739201,B757-224/WL (ET)
a1ea70,N222WN,BOEING,737-7H4,1464739200,
a5a2cc,N462UA,,A320,1464739201,A320-232
aca79d,N914XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab674d,N834AY,BOMBARDIER INC,CL-600-2B19,1464739200,
a5a11e,N462AW,BOMBARDIER INC,CL-600-2B19,1464739200,
a8847f,N648RW,,E170,1464739201,Emb.170-100SE
a501aa,N421ZW,BOMBARDIER INC,CL-600-2B19,1464739200,
ad2095,N945JT,AIRBUS,A321-231,1466168188,
a9819b,N711UW,AIRBUS INDUSTRIE,A319-112,1464739200,
aca3e6,N913XJ,,CRJ9,1464739201,CL-600 2D24 CRJ-900
a7f286,N611AS,BOEING,737-790,1464739200,
a9d86c,N733YX,EMBRAER S A,ERJ 170-200 LR,1464739200,
a37e80,N324PQ,CANADAIR CRJ-900,CRJ9,1466992601,DELTA CONNECTION
ad0e61,N940NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
a011ac,N103US,,A320,1464739201,A320-214
ac267c,N882NN,BOEING,737-823,1464739200,
ad9003,N973NN,BOEING,737-823,1464739200,
a0628f,N124AA,AIRBUS,A321-231,1464739200,
a8d327,N668NK,AIRBUS A321-231,A321,1466992601,SPIRIT AIRLINES
a55736,N443QX,BOMBARDIER INC,DHC-8-402,1464739200,
a791c0,N587UW,AIRBUS,A321-231,1464739200,
a0acb6,N14214,BOEING,737-824,1464739200,
ab8fee,N844NN,BOEING,737-823,1464739200,
a695ea,N523UW,AIRBUS,A321-231,1464739200,
a21d14,N235WN,BOEING,B737,1464739201,B737-7H4/W
ac71e7,N90024,AIRBUS,A319-115,1464739200,
aa6b9d,N77012,BOEING,777-224,1464739200,
aa25a6,N753EV,BOMBARDIER INC,CL-600-2C10,1464739200,
ad4804,N955JB,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
ad2ea9,N949AT,BOEING,717-200,1464739200,
a05a48,N12135,,E145,1464739201,Emb.145XR
a7de93,N606LR,,CRJ9,1464739201,CRJ9
ab7ba5,N839VA,AIRBUS,A320-214,1464739200,
a5ea9a,N480WN,BOEING,737-7H4,1464739200,
a73410,N563WN,BOEING,737-752,1464739200,
a03618,N11206,BOEING,737-824,1464739200,
a99f16,N719SK,,CRJ7,1464739201,CL-600-2C10 CRJ-700
a87cbb,N646NK,AIRBUS,A320-232,1466168187,
ad4105,N953NN,BOEING,737-823,1466168188,
a0ad1d,N14242,BOEING,737-824,1464739200,
a65170,N506NK,,A319,1464739201,A319-132
a5dd1c,N477WN,BOEING,B737,1464739201,B737
ad4171,N953SW,BOMBARDIER INC,CL-600-2B19,1464739200,
aae465,N8001N,AIRBUS,A319-115,1464739200,
a47d05,N389DA,BOEING,737-832,1464739200,
a94b02,N69810,BOEING,737-924ER,1464739200,
ad6f93,N965JT,AIRBUS A321-231,A321,1466992601,JETBLUE AIRWAYS
aaa201,N7842A,BOEING,737-73V,1466168187,
ac045c,N87337,EMBRAER ERJ-175LR,E170,1466992601,UNITED EXPRESS
a0e6c4,N15710,BOEING,B737,1464739201,B737-724
a0fea6,N163US,AIRBUS INDUSTRIE,A321-211,1464739200,
acdfab,N929AT,,B712,1464739201,B717-231
ab942f,N845UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a1e6b9,N221WN,BOEING,737-7H4,1464739200,
a28947,N26232,BOEING,737-824,1464739200,
a6c247,N53441,BOEING,737-924ER,1464739200,
ac9e91,N912EV,,CRJ2,1464739201,CL-600-2B19 CRJ-200
a5ca4b,N472UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a085a4,N13248,,B738,1464739201,B737-824
aa253b,N753AN,BOEING,777-223,1464739200,
a120f3,N172DN,,B763,1464739201,B767-332 (ER)
aa5237,N764US,,A319,1464739201,A319-112
ab34f3,N821DX,BOEING 757-26D,B752,1466992601,DELTA AIR LINES
ad61de,N961WN,BOEING,B737,1464739201,B737
a0cfbd,N151UW,AIRBUS A321-211,A321,1466992601,US AIRWAYS
abab67,N851DN,BOEING,737-932ER,1464739200,
a33aa7,N307PQ,BOMBARDIER INC,CL-600-2D24,1466168185,
ad574f,N959NN,BOEING 737-823,B738,1466992601,AMERICAN AIRLINES
ab4eeb,N828DN,BOEING 737-932,B739,1466992601,DELTA AIR LINES
a7a616,N592NW,BOEING,757-351,1464739200,
abf9f8,N8709Q,BOEING,737-8,1464739200,
a30520,N294JB,EMBRAER,ERJ 190-100 IGW,1464739200,
a098f6,N138AN,AIRBUS,A321-231,1464739200,
ab0b1f,N810UA,AIRBUS INDUSTRIE,A319-131,1464739200,
aaa244,N78438,BOEING,737-924ER,1464739200,
ad3a5f,N951WN,BOEING,B737,1464739201,B737
a44611,N37474,BOEING,737-924ER,1466168186,
ac03f2,N87306,EMBRAER S A,ERJ 170-200 LR,1464739200,
aaf87f,N806DN,BOEING,737-932ER,1464739200,
a611db,N490UA,AIRBUS,A320-232,1464739200,
abeeea,N8680C,BOEING,737-8H4,1466168187,
ab24f7,N817SK,BOMBARDIER INC,CL-600-2D24,1464739200,
a80c7b,N618AE,,E145,1464739201,ERJ-145LR
a57afe,N452QX,BOMBARDIER INC,DHC-8-402,1466168186,
a11ad4,N170SY,EMBRAER S A,ERJ 170-200 LR,1464739200,
adab9c,N980EV,BOMBARDIER INC,CL-600-2B19,1464739200,
abe2f6,N865RW,EMBRAER,ERJ 170-100 SE,1464739200,
acf497,N934AT,BOEING,717-200,1464739200,
a98f6a,N715JB,AIRBUS,A320-232,1464739200,
a03331,N11164,,E145,1464739201,EMB-145XR
a915cf,N685AE,EMBRAER,EMB-145LR,1464739200,
a94b72,N69847,BOEING,737-924ER,1464739200,
a3dc47,N348NW,AIRBUS INDUSTRIE,A320-212,1464739200,
ab1b3e,N81449,,B739,1464739201,B739
a33e85,N308RD,,DH8A,1464739201,DH8A
aa2e36,N755SK,BOMBARDIER INC,CL-600-2C10,1464739200,
a80c87,N618AS,BOEING,B737,1464739201,B737-790
a2c27e,N277WN,BOEING,737-7H4,1464739200,
ab6339,N8328A,BOEING,737-8H4,1464739200,
a7dadc,N605LR,,CRJ9,1464739201,CRJ9
ab635d,N8329B,,B738,1464739201,B738
a564b3,N447AW,,CRJ2,1464739201,CRJ2
a92367,N68807,BOEING,737-924ER,1464739200,
a8aba8,N658NK,AIRBUS A321-231,A321,1466992601,SPIRIT AIRLINES
a9d7c1,N733SA,BOEING,737-7H4,1464739200,
ab68f9,N834UA,AIRBUS INDUSTRIE,A319-131,1464739200,
a04e60,N119HQ,,E170,1464739201,ERJ-170-200LR
a81ee1,N622NK,AIRBUS A320-232,A320,1466992601,SPIRIT AIRLINES
a44d1c,N3765,BOEING,737-832,1464739200,
ab6cc9,N835VA,,A320,1464739201,A320
accd8c,N924FJ,BOMBARDIER INC,CL-600-2D24,1464739200,
aaad6d,N7874B,BOEING 737-7Q8,B737,1466992601,SOUTHWEST AIRLINES
aa4ac9,N762US,,A319,1464739201,A319-112
a5bb1b,N469AS,BOEING,737-990ER,1466168186,
a14da8,N183UW,,A321,1464739201,A321-211
a76f68,N57864,BOEING,757-33N,1464739200,
ab5ed8,N8313F,BOEING,737-8H4,1464739200,
a16273,N189DN,BOEING,767-332,1464739200,
ab3214,N820NN,BOEING,737-823,1464739200,
a1dcf2,N219WN,BOEING,737-7H4,1464739200,
ab2c8e,N819UA,,A319,1464739201,A319-131
a85b79,N638AE,,E145,1464739201,E145
a4794e,N388DA,BOEING,737-832,1464739200,
acb2c2,N917XJ,BOMBARDIER INC,CL-600-2D24,1464739200,
ab674b,N834AW,,A319,1464739201,A319-132
a7a4e6,N592AS,,B738,1464739201,B737-890/W
aaec9c,N8027D,AIRBUS,A319-115,1464739200,
a07228,N128HQ,,E170,1464739201,ERJ-170-200LR
a0e250,N156UW,AIRBUS,A321-211,1464739200,
a912f0,N684JW,,E145,1464739201,ERJ-145LR
abe7c5,N8662F,BOEING,737-8H4,1464739200,
a999d2,N718AN,,B773,1464739201,B773
ab1122,N812DN,BOEING,737-932ER,1464739200,
a4afbe,N4005X,AIRBUS A319-115,A319,1466992601,AMERICAN AIRLINES
a45091,N3773D,BOEING,737-832,1464739200,
a84d62,N634JB,AIRBUS,A320-232,1464739200,
a12378,N17233,,B738,1464739201,B737-824
a2195d,N234WN,BOEING,B737,1464739201,B737-7H4/W
a94b51,N69839,BOEING,737-924ER,1464739200,
a89bab,N654AW,,A320,1464739201,A320-232
a7016c,N550WN,BOEING,B737,1464739201,B737
ad4c96,N956SW,BOMBARDIER INC,CL-600-2B19,1464739200,
a513ac,N426UA,AIRBUS INDUSTRIE,A320-232,1464739200,
a17c95,N195UW,AIRBUS,A321-211,1464739200,
a173a8,N193DN,BOEING,767-332,1464739200,
a92438,N68880,BOEING 737-924,B739,1466992601,UNITED AIRLINES
a78c43,N586AS,,B738,1464739201,B737-890/W
a2228b,N237AK,BOEING,737-990ER,1464739200,
ab6ebb,N836AY,BOMBARDIER INC,CL-600-2B19,1464739200,
a62bdc,N497UA,AIRBUS,A320-232,1464739200,
aa030b,N744SW,BOEING,737-7H4,1464739200,
a2f200,N28912,BOEING,787-8,1464739200,
a2090d,N230FR,AIRBUS,A320-214,1466168185,
a8dc10,N670DN,BOEING,757-232,1464739200,
a3dbd0,N348JB,,E190,1464739201,E190
a894f2,N652JB,AIRBUS,A320-232,1464739200,
ad7b17,N968NN,BOEING,737-823,1466168188,
ab8c37,N843NN,BOEING,737-823,1464739200,
a5df82,N478HA,BOEING 717-22A,B712,1466992601,HAWAIIAN AIRLINES
ab2ae0,N819AW,AIRBUS INDUSTRIE,A319-132,1464739200,
